,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
0,14,17,40.70463334,-74.01361706,304,1,In Service,False,33
1,3,47,40.75510267,-73.97498696,359,1,In Service,False,53
2,23,22,40.72243797,-74.00566443,377,1,In Service,False,45
3,3,32,40.7403432,-73.98955109,402,1,In Service,False,39
4,7,21,40.71754834,-74.01322069,426,1,In Service,False,29
5,25,11,40.73314259,-73.97573881,487,1,In Service,False,36
6,14,34,40.74096374,-73.98602213,491,1,In Service,False,51
7,42,9,40.76087502,-74.00277668,514,1,In Service,False,52
8,13,23,40.75992262,-73.97648516,520,1,In Service,False,39
9,9,43,40.758996559605116,-73.96865397691727,3223,1,In Service,False,53
10,20,20,40.76132983124814,-73.97982001304626,3443,1,In Service,False,41
11,9,33,40.76302594280519,-73.97209525108337,3457,1,In Service,False,46
12,17,22,40.76727216,-73.99392888,72,1,In Service,False,39
13,2,29,40.71911552,-74.00666661,79,1,In Service,False,33
14,9,18,40.71117416,-74.00016545,82,1,In Service,False,27
15,20,40,40.68382604,-73.97632328,83,1,In Service,False,62
16,3,16,40.69608941,-73.97803415,119,1,In Service,False,19
17,8,11,40.68676793,-73.95928168,120,1,In Service,False,19
18,11,17,40.73172428,-74.00674436,127,1,In Service,False,31
19,13,16,40.72710258,-74.00297088,128,1,In Service,False,30
20,7,15,40.69239502,-73.99337909,143,1,In Service,False,24
21,3,16,40.69839895,-73.98068914,144,1,In Service,False,19
22,5,33,40.71625008,-74.0091059,146,1,In Service,False,39
23,22,7,40.7208736,-73.98085795,150,1,In Service,False,29
24,5,27,40.722103786686034,-73.99724900722504,151,1,In Service,False,33
25,12,8,40.69089272,-73.99612349,157,1,In Service,False,23
26,5,41,40.75323098,-73.97032517,164,1,In Service,False,47
27,1,43,40.7489006,-73.97604882,167,1,In Service,False,45
28,6,37,40.73971301,-73.99456405,168,1,In Service,False,47
29,7,43,40.76068327096592,-73.9845272898674,173,1,In Service,False,51
30,15,15,40.7381765,-73.97738662,174,1,In Service,False,30
31,9,33,40.70905623,-74.01043382,195,1,In Service,False,45
32,3,22,40.74334935,-74.00681753,212,1,In Service,False,28
33,1,21,40.70037867,-73.99548059,216,1,In Service,False,23
34,8,30,40.70277159,-73.99383605,217,1,In Service,False,39
35,1,30,40.73781509,-73.99994661,223,1,In Service,False,33
36,6,48,40.7546011026,-73.971878855,228,1,In Service,False,55
37,8,9,40.72743423,-73.99379025,229,1,In Service,False,23
38,4,17,40.69597683,-73.99014892,232,1,In Service,False,23
39,31,8,40.7284186,-73.98713956,236,1,In Service,False,39
40,8,30,40.73047309,-73.98672378,237,1,In Service,False,39
41,17,10,40.7361967,-74.00859207,238,1,In Service,False,31
42,24,4,40.69196566,-73.9813018,239,1,In Service,False,31
43,2,20,40.68981035,-73.97493121,241,1,In Service,False,23
44,15,8,40.697787,-73.973736,242,1,In Service,False,23
45,19,10,40.688226,-73.979382,243,1,In Service,False,31
46,16,15,40.69196035,-73.96536851,244,1,In Service,False,31
47,15,8,40.69327018,-73.97703874,245,1,In Service,False,23
48,9,9,40.73535398,-74.00483091,247,1,In Service,False,20
49,3,18,40.72185379,-74.00771779,248,1,In Service,False,23
50,2,24,40.71870987,-74.0090009,249,1,In Service,False,27
51,7,20,40.72317958,-73.99480012,251,1,In Service,False,27
52,3,30,40.73226398,-73.99852205,252,1,In Service,False,33
53,8,47,40.73543934,-73.99453948,253,1,In Service,False,55
54,0,31,40.73532427,-73.99800419,254,1,In Service,False,31
55,7,32,40.71939226,-74.00247214,257,1,In Service,False,39
56,8,15,40.68940747,-73.96885458,258,1,In Service,False,23
57,11,27,40.70122128,-74.01234218,259,1,In Service,False,39
58,6,27,40.70365182,-74.01167797,260,1,In Service,False,35
59,19,8,40.69474881,-73.98362464,261,1,In Service,False,27
60,9,15,40.6917823,-73.9737299,262,1,In Service,False,24
61,9,18,40.70706456,-74.00731853,264,1,In Service,False,27
62,26,5,40.72229346,-73.99147535,265,1,In Service,False,35
63,14,10,40.72368361,-73.97574813,266,1,In Service,False,24
64,5,51,40.75097711,-73.98765428,267,1,In Service,False,57
65,8,16,40.71910537,-73.99973337,268,1,In Service,False,27
66,5,17,40.69308257,-73.97178913,270,1,In Service,False,23
67,8,23,40.68691865,-73.976682,274,1,In Service,False,31
68,11,6,40.68650065,-73.96563307,275,1,In Service,False,19
69,3,22,40.71748752,-74.0104554,276,1,In Service,False,25
70,4,13,40.69766564,-73.98476437,278,1,In Service,False,19
71,27,7,40.707873,-74.00167,279,1,In Service,False,36
72,2,29,40.73331967,-73.99510132,280,1,In Service,False,31
73,0,57,40.7643971,-73.97371465,281,3,Not In Service,False,57
74,9,15,40.707644944175705,-73.96841526031494,282,1,In Service,False,27
75,14,33,40.73454567,-73.99074142,285,1,In Service,False,51
76,10,8,40.6845683,-73.95881081,289,1,In Service,False,19
77,15,5,40.713126,-73.984844,291,1,In Service,False,20
78,17,37,40.73020660529954,-73.99102628231049,293,1,In Service,False,55
79,18,6,40.71406667,-73.99293911,295,1,In Service,False,24
80,8,26,40.71413089,-73.9970468,296,1,In Service,False,35
81,0,26,40.734232,-73.986923,297,1,In Service,False,27
82,18,15,40.68683208,-73.9796772,298,1,In Service,False,35
83,33,4,40.72217444,-73.98368779,301,1,In Service,False,37
84,9,14,40.72082834,-73.97793172,302,1,In Service,False,23
85,8,23,40.72362738,-73.99949601,303,1,In Service,False,31
86,9,23,40.76095756,-73.96724467,305,1,In Service,False,33
87,18,12,40.71427487,-73.98990025,307,1,In Service,False,30
88,13,14,40.71307916,-73.99851193,308,1,In Service,False,27
89,5,32,40.7149787,-74.013012,309,1,In Service,False,41
90,12,24,40.68926942,-73.98912867,310,1,In Service,False,36
91,22,6,40.7172274,-73.98802084,311,1,In Service,False,31
92,24,6,40.722055,-73.989111,312,1,In Service,False,31
93,14,7,40.69610226,-73.96751037,313,1,In Service,False,23
94,7,31,40.69383,-73.990539,314,1,In Service,False,39
95,8,20,40.70355377,-74.00670227,315,1,In Service,False,29
96,13,28,40.70955958,-74.00653609,316,1,In Service,False,43
97,4,23,40.72453734,-73.98185424,317,1,In Service,False,27
98,9,24,40.711066,-74.009447,319,1,In Service,False,33
99,8,19,40.717571,-74.005549,320,1,In Service,False,27
100,8,19,40.69991755,-73.98971773,321,1,In Service,False,27
101,3,27,40.696192,-73.991218,322,1,In Service,False,31
102,14,25,40.69236178,-73.98631746,323,1,In Service,False,39
103,25,25,40.689888,-73.981013,324,1,In Service,False,51
104,1,34,40.73624527,-73.98473765,325,1,In Service,False,35
105,1,21,40.72953837,-73.98426726,326,1,In Service,False,27
106,10,29,40.7153379,-74.01658354,327,1,In Service,False,39
107,2,20,40.72405549,-74.00965965,328,1,In Service,False,23
108,3,34,40.71450451,-74.00562789,330,1,In Service,False,39
109,21,6,40.71173107,-73.99193043,331,1,In Service,False,27
110,17,6,40.71219906,-73.97948148,332,1,In Service,False,24
111,3,27,40.74238787,-73.99726235,334,1,In Service,False,31
112,23,4,40.72903917,-73.99404649,335,1,In Service,False,27
113,8,27,40.73047747,-73.99906065,336,1,In Service,False,36
114,5,32,40.7037992,-74.00838676,337,1,In Service,False,37
115,21,2,40.72580614,-73.97422494,339,1,In Service,False,24
116,15,12,40.71269042,-73.98776323,340,1,In Service,False,27
117,17,2,40.71782143,-73.97628939,341,1,In Service,False,19
118,24,5,40.71739973,-73.98016555,342,1,In Service,False,29
119,6,17,40.69794,-73.96986848,343,1,In Service,False,23
120,6,16,40.6851443,-73.95380904,344,1,In Service,False,23
121,1,33,40.73649403,-73.99704374,345,1,In Service,False,35
